date,cases,deaths,country,population,cumulative_cases,cases_per100000,cases_7day_rollmean,cumulative_deaths,deaths_per100000,deaths_7day_rollmean
2020-04-14,2558,18,Russia,114587226,18328,15.994802073313126,1712.142857142857,148,0.1291592485186787,14.428571428571429
2020-04-15,2774,22,Russia,114587226,21102,18.415665285413226,1943.5714285714287,170,0.14835859627145523,16
2020-04-16,3388,28,Russia,114587226,24490,21.372364839340815,2259.714285714286,198,0.17279412977498904,19.285714285714285
2020-04-17,3448,34,Russia,114587226,27938,24.381426250775977,2543.8571428571427,232,0.20246584902928008,22.285714285714285
2020-04-18,4070,41,Russia,114587226,32008,27.933305585039644,2870.1428571428573,273,0.23824645165945457,25.571428571428573
2020-04-19,4785,40,Russia,114587226,36793,32.109163721268544,3315.5714285714284,313,0.2731543566645029,29.571428571428573
2020-04-20,6060,48,Russia,114587226,42853,37.39771132953336,3869,361,0.31504384267056085,33
2020-04-21,4268,44,Russia,114587226,47121,41.12238479357201,4113.285714285715,405,0.35344253817611393,36.714285714285715
2020-04-22,5642,51,Russia,114587226,52763,46.04614479453407,4523,456,0.3979501170575505,40.857142857142854
2020-04-23,5236,57,Russia,114587226,57999,50.6155895596949,4787,513,0.44769388168974433,45
2020-04-24,4774,42,Russia,114587226,62773,54.781848022047406,4976.428571428572,555,0.48434718194504506,46.142857142857146
2020-04-25,5849,60,Russia,114587226,68622,59.886256431410594,5230.571428571428,615,0.5367090394526175,48.857142857142854
2020-04-26,5966,66,Russia,114587226,74588,65.09277046291355,5399.285714285715,681,0.5943070827109471,52.57142857142857
2020-04-27,6361,66,Russia,114587226,80949,70.64400005634135,5442.285714285715,747,0.6519051259692769,55.142857142857146
2020-04-28,6198,48,Russia,114587226,87147,76.05297993687358,5718,795,0.6937946119753348,55.714285714285715
2020-04-29,6411,72,Russia,114587226,93558,81.6478444115577,5827.857142857143,867,0.7566288409844217,58.714285714285715
2020-04-30,5841,105,Russia,114587226,99399,86.74527123991987,5914.285714285715,972,0.8482620916226735,65.57142857142857
2020-05-01,7099,101,Russia,114587226,106498,92.94055168069082,6246.428571428572,1073,0.9364045517604204,74
2020-05-02,7933,96,Russia,114587226,114431,99.86366194081702,6544.142857142857,1169,1.0201835237725363,79.14285714285714
2020-05-03,9623,53,Russia,114587226,124054,108.26163118740652,7066.571428571428,1222,1.0664364979042253,77.28571428571429
2020-05-04,10633,58,Russia,114587226,134687,117.54102503537348,7676.857142857143,1280,1.1170529601615453,76.14285714285714
2020-05-05,10581,76,Russia,114587226,145268,126.77503860683387,8303,1356,1.183377979671137,80.14285714285714
2020-05-06,10102,95,Russia,114587226,155370,135.59103001585882,8830.285714285714,1451,1.2662842540581267,83.42857142857143
2020-05-07,10559,86,Russia,114587226,165929,144.80584423956645,9504.285714285714,1537,1.3413362498189805,80.71428571428571
2020-05-08,11231,88,Russia,114587226,177160,154.60711126735887,10094.57142857143,1625,1.4181336408300869,78.85714285714286
2020-05-09,10699,98,Russia,114587226,187859,163.94410315858417,10489.714285714286,1723,1.503658008092455,79.14285714285714
2020-05-10,10817,104,Russia,114587226,198676,173.38407336957437,10660.285714285714,1827,1.5944185611055808,86.42857142857143
2020-05-11,11012,88,Russia,114587226,209688,182.99421961746415,10714.42857142857,1915,1.671215952116687,90.71428571428571
2020-05-12,11656,94,Russia,114587226,221344,193.16638313593523,10868,2009,1.7532495288785503,93.28571428571429
2020-05-13,10899,107,Russia,114587226,232243,202.67791455218577,10981.857142857143,2116,1.8466281747670545,95
2020-05-14,10028,96,Russia,114587226,242271,211.42932633695136,10906,2212,1.9304071467791706,96.42857142857143
2020-05-15,9974,93,Russia,114587226,252245,220.13361244996017,10726.42857142857,2305,2.0115680259159077,97.14285714285714
2020-05-16,10598,113,Russia,114587226,262843,229.3824618810477,10712,2418,2.110182857555169,99.28571428571429
2020-05-17,9200,119,Russia,114587226,272043,237.4112800322088,10481,2537,2.214033874945188,101.42857142857143
2020-05-18,9709,94,Russia,114587226,281752,245.88430127455916,10294.857142857143,2631,2.296067451707051,102.28571428571429
2020-05-19,8926,91,Russia,114587226,290678,253.6740002764357,9904.857142857143,2722,2.3754829355935363,101.85714285714286
2020-05-20,9263,115,Russia,114587226,299941,261.7577983779797,9671.142857142857,2837,2.47584316248305,103
2020-05-21,8764,135,Russia,114587226,308705,269.40612036458583,9490.57142857143,2972,2.593657341875088,108.57142857142857
