date,cases,deaths,country,population,continent,cum_cases,cum_cases_per100000,cases_per100000,cases_7day_rollmean,cases_7day_rollsum,cases_7day_rollsum_per100000,cases_14day_rollmean,cases_14day_rollsum,cases_14day_rollmean_per100000,cases_14day_rollsum_per100000,cumulative_deaths,deaths_per100000,deaths_7day_rollmean,deaths_7day_rollsum,deaths_7day_rollsum_per100000,deaths_14day_rollmean,deaths_14day_rollsum,deaths_14day_rollmean_per100000,deaths_14day_rollsum_per100000
2020-06-13,163,56,Italy,60359546,Europe,236305,391.4956550534691,0.2700484195159453,253.42857142857142,1774,2.9390545780447055,289.7857142857143,4057,0.4800992278598555,6.721389190037977,34223,56.69857092695826,64.14285714285714,449,0.743875707746377,71,994,0.11762845267258969,1.6467983374162556
2020-06-14,346,78,Italy,60359546,Europe,236651,392.0688866679017,0.5732316144326202,264.2857142857143,1850,3.0649667245674777,284.7857142857143,3987,0.4718155340096731,6.605417476135424,34301,56.82779655102111,65,455,0.7538161403665958,68.64285714285714,961,0.11372328271464656,1.592125958005052
2020-06-15,338,44,Italy,60359546,Europe,236989,392.62886437217406,0.5599777042723284,284.42857142857144,1991,3.2985668911426207,283.57142857142856,3970,0.4698037797889145,6.577252917044803,34345,56.90069305690271,63.714285714285715,446,0.7389054914362676,66.42857142857143,930,0.11005478972385152,1.5407670561339213
2020-06-16,301,26,Italy,60359546,Europe,237290,393.12754274195504,0.4986783697809788,287.42857142857144,2012,3.3333584053133865,292.35714285714283,4093,0.48435941326852067,6.78103178575929,34371,56.94376826492366,58.142857142857146,407,0.674292679404845,64,896,0.10603128128233437,1.484437937952681
2020-06-17,210,34,Italy,60359546,Europe,237500,393.47545788366267,0.34791514170765964,277,1939,3.212416475100724,284.64285714285717,3985,0.47157885704252506,6.602103998595351,34405,57.0000973831049,51.714285714285715,362,0.5997394347532038,62.5,875,0.10354617312727965,1.449646423781915
2020-06-18,328,43,Italy,60359546,Europe,237828,394.01886820023464,0.5434103165719636,295,2065,3.4211655601253197,285.14285714285717,3992,0.4724072264275433,6.613701169985606,34448,57.07133715021647,47.714285714285715,334,0.5533507491921824,60.5,847,0.1002326955872067,1.4032577382208937
2020-06-19,331,66,Italy,60359546,Europe,238159,394.5672487331167,0.548380532882073,288.14285714285717,2017,3.3416420991635687,296.14285714285717,4146,0.4906313528979445,6.868838940571223,34514,57.18068190903888,49.57142857142857,347,0.5748883532026566,58.92857142857143,825,0.09762924894857795,1.3668094852800914
2020-06-20,-148,47,Italy,60359546,Europe,238011,394.32205139515133,-0.24519733796539822,243.71428571428572,1706,2.8263963416822255,248.57142857142858,3480,0.41181792283763796,5.765450919726931,34561,57.258548631230596,48.285714285714285,338,0.5599777042723284,56.214285714285715,787,0.09313238657276467,1.3038534120187053
2020-06-21,264,49,Italy,60359546,Europe,238275,394.75943043044094,0.43737903528962924,232,1624,2.6905437625392343,248.14285714285714,3474,0.41110789193619374,5.755510487106712,34610,57.33972883096238,44.142857142857146,309,0.5119322799412706,54.57142857142857,764,0.09041060145056189,1.2657484203078664
2020-06-22,224,24,Italy,60359546,Europe,238499,395.1305399149291,0.37110948448817027,215.71428571428572,1510,2.5016755427550765,250.07142857142858,3501,0.41430303099269267,5.800242433897697,34634,57.379490561443255,41.285714285714285,289,0.4787975045405411,52.5,735,0.08697878542691491,1.2177029959768086
2020-06-23,221,23,Italy,60359546,Europe,238720,395.4966791831072,0.36613926817806086,204.28571428571428,1430,2.3691364411521585,245.85714285714286,3442,0.40732106046182465,5.702494846465545,34657,57.417595553154094,40.857142857142854,286,0.4738272882304317,49.5,693,0.08200856911680549,1.1481199676352767
2020-06-24,113,18,Italy,60359546,Europe,238833,395.6838906641213,0.1872114810141216,190.42857142857142,1333,2.2084327804586206,233.71428571428572,3272,0.3872035182542389,5.420849255559344,34675,57.44741685101475,38.57142857142857,270,0.4473194679098481,45.142857142857146,632,0.07478992161878942,1.047058902663052
2020-06-25,577,-31,Italy,60359546,Europe,239410,396.63982893443233,0.9559382703110457,226,1582,2.6209607341977024,260.5,3647,0.4315804495945016,6.0421262943230225,34644,57.39605794914362,28,196,0.324720798927149,37.857142857142854,530,0.06271939629423795,0.8780715481193314
